V1,V2,V3
-122.801122334456,49.4,376.037506103516
-122.784399551066,49.4,177.47346496582
-122.767676767677,49.4,325.163452148438
-122.750953984287,49.4,498.593475341797
-122.734231200898,49.4,613.0634765625
-122.717508417508,49.4,962.113464355469
-122.700785634119,49.4,1218.70349121094
-122.68406285073,49.4,1048.82348632812
-122.66734006734,49.4,1005.80346679688
-122.650617283951,49.4,780.710021972656
-122.633894500561,49.4,131.139999389648
-122.617171717172,49.4,294.410003662109
-122.600448933782,49.4,288.149993896484
-122.583726150393,49.4,177.809997558594
-122.567003367003,49.4,34.4599990844727
-122.550280583614,49.4,6.38000011444092
-122.533557800224,49.4,75.6800003051758
-122.516835016835,49.4,326.027648925781
-122.500112233446,49.4,828.207641601562
-122.483389450056,49.4,945.537658691406
-122.466666666667,49.4,910.657653808594
-127.433333333333,49.3833101529903,-1228.44226074219
-127.416610549944,49.3833101529903,-1278.19226074219
-127.399887766554,49.3833101529903,-1264.31225585938
-127.383164983165,49.3833101529903,-1226.44226074219
-127.366442199776,49.3833101529903,-1199.12231445312
-127.349719416386,49.3833101529903,-1119.25231933594
-127.332996632997,49.3833101529903,-959.815002441406
-127.316273849607,49.3833101529903,-791.315002441406
-127.299551066218,49.3833101529903,-669.244995117188
-127.282828282828,49.3833101529903,-539.244995117188
-127.266105499439,49.3833101529903,-421.565002441406
-127.249382716049,49.3833101529903,-293.184997558594
-127.23265993266,49.3833101529903,-222.494995117188
-127.21593714927,49.3833101529903,-196.375
-127.199214365881,49.3833101529903,-186.6875
-127.182491582492,49.3833101529903,-176.557495117188
-127.165768799102,49.3833101529903,-161.997497558594
-127.149046015713,49.3833101529903,-156.307495117188
-127.132323232323,49.3833101529903,-151.1875
-127.115600448934,49.3833101529903,-151.877502441406
-127.098877665544,49.3833101529903,-153.377502441406
-127.082154882155,49.3833101529903,-154.1875
-127.065432098765,49.3833101529903,-152.682495117188
-127.048709315376,49.3833101529903,-145.432495117188
-127.031986531987,49.3833101529903,-130.182495117188
-127.015263748597,49.3833101529903,-127.3125
-126.998540965208,49.3833101529903,-135.872497558594
-126.981818181818,49.3833101529903,-143.182495117188
-126.965095398429,49.3833101529903,-142.372497558594
-126.948372615039,49.3833101529903,-140.122497558594
-126.93164983165,49.3833101529903,-139.815002441406
-126.91492704826,49.3833101529903,-136.244995117188
-126.898204264871,49.3833101529903,-128.684997558594
-126.881481481481,49.3833101529903,-123.565002441406
-126.864758698092,49.3833101529903,-117.245002746582
-126.848035914703,49.3833101529903,-111.184997558594
-126.831313131313,49.3833101529903,-107.125
-126.814590347924,49.3833101529903,-104.495002746582
-126.797867564534,49.3833101529903,-101.620002746582
-126.781144781145,49.3833101529903,-95.6900024414062
-126.764421997755,49.3833101529903,-88.870002746582
-126.747699214366,49.3833101529903,-81.25
-126.730976430976,49.3833101529903,-74.9400024414062
-126.714253647587,49.3833101529903,-59.310001373291
-126.697530864198,49.3833101529903,-51.310001373291
-126.680808080808,49.3833101529903,-51.8699989318848
-126.664085297419,49.3833101529903,-54.1199989318848
-126.647362514029,49.3833101529903,-46.060001373291
-126.63063973064,49.3833101529903,-38
-126.61391694725,49.3833101529903,-37.189998626709
-126.597194163861,49.3833101529903,-26.6900005340576
-126.580471380471,49.3833101529903,-24.1900005340576
-126.563748597082,49.3833101529903,-14.4399995803833
-126.547025813692,49.3833101529903,-1.80999994277954
-126.530303030303,49.3833101529903,2.15499997138977
-126.513580246914,49.3833101529903,0.224999994039536
-126.496857463524,49.3833101529903,0.785000026226044
-126.480134680135,49.3833101529903,0.365000009536743
-126.463411896745,49.3833101529903,-12.625
-126.446689113356,49.3833101529903,-20.2450008392334
-126.429966329966,49.3833101529903,-16.7450008392334
-126.413243546577,49.3833101529903,-15.6850004196167
-126.396520763187,49.3833101529903,-22.4349994659424
-126.379797979798,49.3833101529903,-25.0650005340576
-126.363075196409,49.3833101529903,-20.625
-126.346352413019,49.3833101529903,-18.3150005340576
-126.32962962963,49.3833101529903,8.63500022888184
-126.31290684624,49.3833101529903,41.1650009155273
-126.296184062851,49.3833101529903,46.0250015258789
-126.279461279461,49.3833101529903,41.5250015258789
-126.262738496072,49.3833101529903,-8.85710525512695
-126.246015712682,49.3833101529903,-38.2171058654785
-126.229292929293,49.3833101529903,39.2528953552246
