Sample,Rep,Species,Reads,Prop,Gene,Primer,Taq,BSA,TD
MV1.NPHF.1,1,Clupea pallasii,41601,0.26454653,12S,MV1,NPHF,0,0
MV1.NPHF.2,2,Clupea pallasii,37031,0.249885284,12S,MV1,NPHF,0,0
MV1.NPHF.3,3,Clupea pallasii,18559,0.241587587,12S,MV1,NPHF,0,0
MV1.NPHF.BSA.1,1,Clupea pallasii,46318,0.272127468,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.2,2,Clupea pallasii,33041,0.240574624,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.3,3,Clupea pallasii,36758,0.253176937,12S,MV1,NPHF,1,0
MV1.PGTF.1,1,Clupea pallasii,48788,0.288025126,12S,MV1,PGTF,1,0
MV1.PGTF.2,2,Clupea pallasii,47922,0.310969793,12S,MV1,PGTF,1,0
MV1.PGTF.3,3,Clupea pallasii,45291,0.347326283,12S,MV1,PGTF,1,0
MV1.PGTF.TD.1,1,Clupea pallasii,71266,0.420294641,12S,MV1,PGTF,1,1
MV1.PGTF.TD.2,2,Clupea pallasii,45310,0.425330192,12S,MV1,PGTF,1,1
MV1.PGTF.TD.3,3,Clupea pallasii,54676,0.369454899,12S,MV1,PGTF,1,1
MV1.QMMM.1,1,Clupea pallasii,41741,0.311995934,12S,MV1,QMMM,0,0
MV1.QMMM.2,2,Clupea pallasii,58116,0.346262467,12S,MV1,QMMM,0,0
MV1.QMMM.3,3,Clupea pallasii,37894,0.338962735,12S,MV1,QMMM,0,0
MV3.IPSF.1,1,Clupea pallasii,56780,0.257540708,16S,MV3,IPSF,0,0
MV3.IPSF.2,2,Clupea pallasii,11173,0.303795747,16S,MV3,IPSF,0,0
MV3.IPSF.3,3,Clupea pallasii,9608,0.294579348,16S,MV3,IPSF,0,0
MV3.NPHF.1,1,Clupea pallasii,62806,0.245285156,16S,MV3,NPHF,0,0
MV3.NPHF.2,2,Clupea pallasii,17636,0.277256363,16S,MV3,NPHF,0,0
MV3.NPHF.3,3,Clupea pallasii,18972,0.234598739,16S,MV3,NPHF,0,0
MV3.PGTF.1,1,Clupea pallasii,24151,0.354906024,16S,MV3,PGTF,1,0
MV3.PGTF.2,2,Clupea pallasii,53477,0.352708781,16S,MV3,PGTF,1,0
MV3.PGTF.3,3,Clupea pallasii,30230,0.391367391,16S,MV3,PGTF,1,0
MV3.PGTF.TD.1,1,Clupea pallasii,70081,0.434110112,16S,MV3,PGTF,1,1
MV3.PGTF.TD.2,2,Clupea pallasii,42458,0.463424218,16S,MV3,PGTF,1,1
MV3.PGTF.TD.3,3,Clupea pallasii,54138,0.455411896,16S,MV3,PGTF,1,1
MV3.QMMM.1,1,Clupea pallasii,82934,0.325080943,16S,MV3,QMMM,0,0
MV3.QMMM.2,2,Clupea pallasii,38750,0.333522688,16S,MV3,QMMM,0,0
MV3.QMMM.3,3,Clupea pallasii,39703,0.296680715,16S,MV3,QMMM,0,0
C16.IPSF.1,1,Diogenichthys atlanticus,1564,0.052145501,16S,C16,IPSF,0,0
